adintel_media_definition,unique_key
Network TV,"""AdDate, AdTime, MarketCode, MediaTypeID, DistributorCode, AdCode, GrpPercentage, MonitorPlusProgramCode"""
Spanish Language Network TV,"""AdDate, AdTime, MarketCode, MediatTypeID, DistributorCode, AdCode, MonitorPlusProgramCode"""
Cable TV,"""AdDate, AdTime, MarketCode, MediaTypeID, DistributorCode, AdCode, MonitorPlusProgramCode"""
Spanish Language Cable TV,"""AdDate, AdTime, MarketCode, MediaTypeID, DistributorCode, AdCode"""
Syndicated TV,"""AdDate, AdTime, MarketCode, MediaTypeID, DistributorCode, AdCode, NielsenProgramCode, TelecastNumber"""
Spot TV,"""AdDate, AdTime, MarketCode, MediaTypeID, DistributorCode, AdCode"""
Network Clearance Spot TV,"""AdDate, AdTime, MarketCode, MediaTypeID, DistributorCode, AdCode"""
Syndicated Clearance Spot TV,"""AdDate, AdTime, MarketCode, MediaTypeID, DistributorCode, AdCode"""
Local/Regional Cable TV,"""AdDate, AdTime, MarketCode, MediaTypeID, DistributorCode, AdCode"""
National Magazine,"""AdDate, MarketCode, MediaTypeID, DistributorID, Spend, AdCode, AdNumber"""
Local Magazine,"""AdDate, MarketCode, MediaTypeID, DistributorCode, Spend, AdCode"""
Coupon,"""AdDate, MarketCode, MediaTypeID, AdCode, SourceCode, OffValue, CouponID"""
National Newspaper,"""AdDate, MarketCode, MediaTypeID, DistributorCode, Spend, AdCode, NewspAdSize, NewspEventCode, NewspSecCode."""
National Sunday Supplement,"""AdDate, MarketCode, MediaTypeID, DistributorCode, Spend, AdCode, NewspAdSize, NewspEventCode, NewspSecCode."""
Local Newspaper,"""AdDate, MarketCode, MediaTypeID, DistributorCode, Spend, AdCode, NewspAdSize, NewspEventCode, NewspSecCode."""
Local Sunday Supplement,"""AdDate, MarketCode, MediaTypeID, DistributorCode, Spend, AdCode, NewspAdSize, NewspEventCode, NewspSecCode."""
Network Radio,"""AdDate, MarketCode, MediaTypeID, DistributorCode, AdCode"""
Spot Radio,"""AdDate, MarketCode, MediaTypeID, DistributorCode, AdCode, AdTime, RadioDaypartID"""
Outdoor,"""AdDate, MarketCode, MediaTypeID, DistributorCode, AdCode"""
National Internet,"""AdDate, MarketCode, MediaTypeID, DistributorCode, AdCode"""
Local Internet,"""AdDate, MarketCode, MediaTypeID, DistributorCode, AdCode"""
National Cinema,"""AdDate, MarketCode, MediaTypeID, AdCode"""
Regional Cinema,"""AdDate, MarketCode, MediaTypeID, AdCode"""
National Digital,"""AdDate, MarketCode, MediaTypeID, DistributorCode, AdCode, AdPlatformId, AdTypeId"""