file_path,year,date_min,date_max
tv/local/cable_tv/ok__id24__2010__chunk2.csv,2010,14816,14969
tv/local/cable_tv/ok__id24__2011__chunk1.csv,2011,14970,15155
tv/local/cable_tv/ok__id24__2011__chunk2.csv,2011,15156,15333
tv/local/cable_tv/ok__id24__2012__chunk1.csv,2012,15334,15521
tv/local/cable_tv/ok__id24__2012__chunk2.csv,2012,15522,15704
tv/local/cable_tv/ok__id24__2013__chunk1.csv,2013,15705,15886
tv/local/cable_tv/ok__id24__2013__chunk2.csv,2013,15887,16068
tv/local/cable_tv/ok__id24__2014__chunk1.csv,2014,16069,16251
tv/local/cable_tv/ok__id24__2014__chunk2.csv,2014,16252,16432
tv/local/cable_tv/ok__id24__2015__chunk1.csv,2015,16433,16616
tv/local/cable_tv/ok__id24__2015__chunk2.csv,2015,16617,16796
tv/local/cable_tv/ok__id24__2016__chunk1.csv,2016,16797,16982
tv/local/cable_tv/ok__id24__2016__chunk2.csv,2016,16983,17160
tv/local/cable_tv/ok__id24__2017__chunk1.csv,2017,17161,17347
tv/local/cable_tv/ok__id24__2017__chunk2.csv,2017,17348,17531
tv/local/cable_tv/ok__id24__2018__chunk1.csv,2018,17532,17712
tv/local/cable_tv/ok__id24__2018__chunk2.csv,2018,17713,17895
tv/local/cable_tv/ok__id24__2019__chunk1.csv,2019,17896,18077
tv/local/cable_tv/ok__id24__2019__chunk2.csv,2019,18078,18259
tv/local/cable_tv/ok__id24__2020__chunk1.csv,2020,18260,18443
tv/local/cable_tv/ok__id24__2020__chunk2.csv,2020,18444,18595
tv/local/network_tv/ok__id13__2010__chunk1.csv,2010,14606,14790
tv/local/network_tv/ok__id13__2010__chunk2.csv,2010,14791,14969
tv/local/network_tv/ok__id13__2011__chunk1.csv,2011,14970,15155
tv/local/network_tv/ok__id13__2011__chunk2.csv,2011,15156,15333
tv/local/network_tv/ok__id13__2012__chunk1.csv,2012,15334,15521
tv/local/network_tv/ok__id13__2012__chunk2.csv,2012,15522,15704
tv/local/network_tv/ok__id13__2013__chunk1.csv,2013,15705,15886
tv/local/network_tv/ok__id13__2013__chunk2.csv,2013,15887,16068
tv/local/network_tv/ok__id13__2014__chunk1.csv,2014,16069,16251
tv/local/network_tv/ok__id13__2014__chunk2.csv,2014,16252,16432
tv/local/network_tv/ok__id13__2015__chunk1.csv,2015,16433,16616
tv/local/network_tv/ok__id13__2015__chunk2.csv,2015,16617,16796
tv/local/network_tv/ok__id13__2016__chunk1.csv,2016,16797,16982
tv/local/network_tv/ok__id13__2016__chunk2.csv,2016,16983,17160
tv/local/network_tv/ok__id13__2017__chunk1.csv,2017,17161,17347
tv/local/network_tv/ok__id13__2017__chunk2.csv,2017,17348,17531
tv/local/network_tv/ok__id13__2018__chunk1.csv,2018,17532,17712
tv/local/network_tv/ok__id13__2018__chunk2.csv,2018,17713,17895
tv/local/network_tv/ok__id13__2019__chunk1.csv,2019,17896,18077
tv/local/network_tv/ok__id13__2019__chunk2.csv,2019,18078,18259
tv/local/network_tv/ok__id13__2020__chunk1.csv,2020,18260,18443
tv/local/network_tv/ok__id13__2020__chunk2.csv,2020,18444,18623
tv/local/network_tv/ok__id13__2021__chunk1.csv,2021,18624,18808
tv/local/network_tv/ok__id13__2021__chunk2.csv,2021,18809,18987
tv/local/spot_tv/ok__id05__2010__chunk1.csv,2010,14606,14790
tv/local/spot_tv/ok__id05__2010__chunk2.csv,2010,14791,14969
tv/local/spot_tv/ok__id05__2011__chunk1.csv,2011,14970,15155
tv/local/spot_tv/ok__id05__2011__chunk2.csv,2011,15156,15333
tv/local/spot_tv/ok__id05__2012__chunk1.csv,2012,15334,15521
tv/local/spot_tv/ok__id05__2012__chunk2.csv,2012,15522,15704
tv/local/spot_tv/ok__id05__2013__chunk1.csv,2013,15705,15886
tv/local/spot_tv/ok__id05__2013__chunk2.csv,2013,15887,16068
tv/local/spot_tv/ok__id05__2014__chunk1.csv,2014,16069,16251
tv/local/spot_tv/ok__id05__2014__chunk2.csv,2014,16252,16432
tv/local/spot_tv/ok__id05__2015__chunk1.csv,2015,16433,16616
tv/local/spot_tv/ok__id05__2015__chunk2.csv,2015,16617,16796
tv/local/spot_tv/ok__id05__2016__chunk1.csv,2016,16797,16982
tv/local/spot_tv/ok__id05__2016__chunk2.csv,2016,16983,17160
tv/local/spot_tv/ok__id05__2017__chunk1.csv,2017,17161,17347
tv/local/spot_tv/ok__id05__2017__chunk2.csv,2017,17348,17531
tv/local/spot_tv/ok__id05__2018__chunk1.csv,2018,17532,17712
tv/local/spot_tv/ok__id05__2018__chunk2.csv,2018,17713,17895
tv/local/spot_tv/ok__id05__2019__chunk1.csv,2019,17896,18077
tv/local/spot_tv/ok__id05__2019__chunk2.csv,2019,18078,18259
tv/local/spot_tv/ok__id05__2020__chunk1.csv,2020,18260,18443
tv/local/spot_tv/ok__id05__2020__chunk2.csv,2020,18444,18623
tv/local/spot_tv/ok__id05__2021__chunk1.csv,2021,18624,18808
tv/local/spot_tv/ok__id05__2021__chunk2.csv,2021,18809,18987
tv/local/syndicated_tv/ok__id14__2010__chunk1.csv,2010,14606,14790
tv/local/syndicated_tv/ok__id14__2010__chunk2.csv,2010,14791,14969
tv/local/syndicated_tv/ok__id14__2011__chunk1.csv,2011,14970,15155
tv/local/syndicated_tv/ok__id14__2011__chunk2.csv,2011,15156,15333
tv/local/syndicated_tv/ok__id14__2012__chunk1.csv,2012,15334,15521
tv/local/syndicated_tv/ok__id14__2012__chunk2.csv,2012,15522,15704
tv/local/syndicated_tv/ok__id14__2013__chunk1.csv,2013,15705,15886
tv/local/syndicated_tv/ok__id14__2013__chunk2.csv,2013,15887,16068
tv/local/syndicated_tv/ok__id14__2014__chunk1.csv,2014,16069,16251
tv/local/syndicated_tv/ok__id14__2014__chunk2.csv,2014,16252,16432
tv/local/syndicated_tv/ok__id14__2015__chunk1.csv,2015,16433,16616
tv/local/syndicated_tv/ok__id14__2015__chunk2.csv,2015,16617,16796
tv/local/syndicated_tv/ok__id14__2016__chunk1.csv,2016,16797,16982
tv/local/syndicated_tv/ok__id14__2016__chunk2.csv,2016,16983,17160
tv/local/syndicated_tv/ok__id14__2017__chunk1.csv,2017,17161,17347
tv/local/syndicated_tv/ok__id14__2017__chunk2.csv,2017,17348,17531
tv/local/syndicated_tv/ok__id14__2018__chunk1.csv,2018,17532,17712
tv/local/syndicated_tv/ok__id14__2018__chunk2.csv,2018,17713,17895
tv/local/syndicated_tv/ok__id14__2019__chunk1.csv,2019,17896,18077
tv/local/syndicated_tv/ok__id14__2019__chunk2.csv,2019,18078,18259
tv/local/syndicated_tv/ok__id14__2020__chunk1.csv,2020,18260,18443
tv/local/syndicated_tv/ok__id14__2020__chunk2.csv,2020,18444,18623
tv/local/syndicated_tv/ok__id14__2021__chunk1.csv,2021,18624,18808
tv/local/syndicated_tv/ok__id14__2021__chunk2.csv,2021,18809,18987
tv/national/cable_tv/ok__id02__2010.csv,2010,14610,14974
tv/national/cable_tv/ok__id02__2011.csv,2011,14975,15339
tv/national/cable_tv/ok__id02__2012.csv,2012,15340,15705
tv/national/cable_tv/ok__id02__2013.csv,2013,15706,16070
tv/national/cable_tv/ok__id02__2014.csv,2014,16071,16435
tv/national/cable_tv/ok__id02__2015.csv,2015,16436,16800
tv/national/cable_tv/ok__id02__2016.csv,2016,16801,17166
tv/national/cable_tv/ok__id02__2017.csv,2017,17167,17531
tv/national/cable_tv/ok__id02__2018.csv,2018,17532,17896
tv/national/cable_tv/ok__id02__2019.csv,2019,17897,18261
tv/national/cable_tv/ok__id02__2020.csv,2020,18262,18627
tv/national/cable_tv/ok__id02__2021.csv,2021,18628,18992
tv/national/cable_tv/ok__id22__2010.csv,2010,14610,14974
tv/national/cable_tv/ok__id22__2011.csv,2011,14975,15339
tv/national/cable_tv/ok__id22__2012.csv,2012,15340,15705
tv/national/cable_tv/ok__id22__2013.csv,2013,15706,16070
tv/national/cable_tv/ok__id22__2014.csv,2014,16071,16435
tv/national/cable_tv/ok__id22__2015.csv,2015,16436,16800
tv/national/cable_tv/ok__id22__2016.csv,2016,16801,17166
tv/national/cable_tv/ok__id22__2017.csv,2017,17167,17531
tv/national/cable_tv/ok__id22__2018.csv,2018,17532,17896
tv/national/cable_tv/ok__id22__2019.csv,2019,17897,18261
tv/national/cable_tv/ok__id22__2020.csv,2020,18262,18627
tv/national/cable_tv/ok__id22__2021.csv,2021,18628,18992
tv/national/network_tv/ok__id01__2010.csv,2010,14610,14974
tv/national/network_tv/ok__id01__2011.csv,2011,14975,15339
tv/national/network_tv/ok__id01__2012.csv,2012,15340,15705
tv/national/network_tv/ok__id01__2013.csv,2013,15706,16070
tv/national/network_tv/ok__id01__2014.csv,2014,16071,16435
tv/national/network_tv/ok__id01__2015.csv,2015,16436,16800
tv/national/network_tv/ok__id01__2016.csv,2016,16801,17166
tv/national/network_tv/ok__id01__2017.csv,2017,17167,17531
tv/national/network_tv/ok__id01__2018.csv,2018,17532,17896
tv/national/network_tv/ok__id01__2019.csv,2019,17897,18261
tv/national/network_tv/ok__id01__2020.csv,2020,18262,18627
tv/national/network_tv/ok__id01__2021.csv,2021,18628,18992
tv/national/network_tv/ok__id04__2010.csv,2010,14610,14974
tv/national/network_tv/ok__id04__2011.csv,2011,14975,15339
tv/national/network_tv/ok__id04__2012.csv,2012,15340,15705
tv/national/network_tv/ok__id04__2013.csv,2013,15706,16070
tv/national/network_tv/ok__id04__2014.csv,2014,16071,16435
tv/national/network_tv/ok__id04__2015.csv,2015,16436,16800
tv/national/network_tv/ok__id04__2016.csv,2016,16801,17166
tv/national/network_tv/ok__id04__2017.csv,2017,17167,17531
tv/national/network_tv/ok__id04__2018.csv,2018,17532,17896
tv/national/network_tv/ok__id04__2019.csv,2019,17897,18261
tv/national/network_tv/ok__id04__2020.csv,2020,18262,18627
tv/national/network_tv/ok__id04__2021.csv,2021,18628,18992
tv/national/syndicated_tv/ok__id03__2010.csv,2010,14610,14974
tv/national/syndicated_tv/ok__id03__2011.csv,2011,14975,15339
tv/national/syndicated_tv/ok__id03__2012.csv,2012,15340,15705
tv/national/syndicated_tv/ok__id03__2013.csv,2013,15706,16070
tv/national/syndicated_tv/ok__id03__2014.csv,2014,16071,16435
tv/national/syndicated_tv/ok__id03__2015.csv,2015,16436,16800
tv/national/syndicated_tv/ok__id03__2016.csv,2016,16801,17166
tv/national/syndicated_tv/ok__id03__2017.csv,2017,17167,17531
tv/national/syndicated_tv/ok__id03__2018.csv,2018,17532,17896
tv/national/syndicated_tv/ok__id03__2019.csv,2019,17897,18261
tv/national/syndicated_tv/ok__id03__2020.csv,2020,18262,18627
tv/national/syndicated_tv/ok__id03__2021.csv,2021,18628,18992
